location,year,month,tmax,tmin,tmean
Adelaide,2006,1,31.91,19.88,25.9
Adelaide,2006,2,27.21,15.51,21.36
Adelaide,2006,3,28.6,16.53,22.57
Adelaide,2006,4,20.64,12.26,16.45
Adelaide,2006,5,17.35,8.76,13.06
Adelaide,2006,6,15.81,5.58,10.7
Adelaide,2006,7,15.32,7.53,11.42
Adelaide,2006,8,18.68,7.64,13.16
Adelaide,2006,9,21.07,9.84,15.46
Adelaide,2006,10,24.43,11.81,18.12
Adelaide,2006,11,27.05,14.11,20.58
Adelaide,2006,12,28.53,15.56,22.05
Adelaide,2007,1,29.59,18.15,23.87
Adelaide,2007,2,32.87,18.96,25.92
Adelaide,2007,3,27.35,16.08,21.71
Adelaide,2007,4,24.67,14.42,19.55
Adelaide,2007,5,20.15,12.05,16.1
Adelaide,2007,6,14.55,6.41,10.48
Adelaide,2007,7,15.59,7.79,11.69
Adelaide,2007,8,18.55,8.43,13.49
Adelaide,2007,9,20.83,10.84,15.83
Adelaide,2007,10,23.21,11.7,17.45
Adelaide,2007,11,27.96,14.93,21.44
Adelaide,2007,12,28.95,16.36,22.65
Adelaide,2008,1,31.05,17.5,24.27
Adelaide,2008,2,27.59,16.41,22.0
Adelaide,2008,3,30.89,17.92,24.4
Adelaide,2008,4,22.67,12.19,17.43
Adelaide,2008,5,19.7,9.96,14.83
Adelaide,2008,6,16.97,9.31,13.14
Adelaide,2008,7,14.78,7.41,11.09
Adelaide,2008,8,14.79,6.51,10.65
Adelaide,2008,9,20.39,9.58,14.98
Adelaide,2008,10,24.09,12.03,18.06
Adelaide,2008,11,24.71,14.25,19.48
Adelaide,2008,12,25.5,15.4,20.45
Adelaide,2009,1,32.0,17.93,24.97
Adelaide,2009,2,31.39,18.72,25.06
Adelaide,2009,3,26.28,15.09,20.69
Adelaide,2009,4,22.85,12.97,17.91
Adelaide,2009,5,18.12,10.53,14.32
Adelaide,2009,6,16.48,8.6,12.54
Adelaide,2009,7,15.78,8.99,12.39
Adelaide,2009,8,18.22,9.45,13.83
Adelaide,2009,9,19.55,10.5,15.03
Adelaide,2009,10,21.92,11.49,16.71
Adelaide,2009,11,30.84,18.01,24.43
Adelaide,2009,12,28.52,15.9,22.21
Adelaide,2010,1,31.37,18.1,24.74
Adelaide,2010,2,31.37,19.04,25.2
Adelaide,2010,3,27.74,16.17,21.96
